local_id,orig_id,mean_t0
546,2968,0.8000
547,2970,0.8000
548,2979,0.5333
549,2984,0.7333
550,2985,0.8667
551,2989,0.7333
552,2994,0.6000
553,3002,0.2000
554,3006,0.3333
555,3011,0.6667
556,3016,0.8667
557,3023,0.7333
558,3025,0.8000
559,3027,0.6667
560,3028,0.6667
561,3035,0.6000
562,3049,0.6667
563,3064,0.7333
564,3075,0.8667
565,3076,0.7333
566,3080,0.6000
567,3081,0.6667
568,3090,0.6667
569,3091,0.4000
570,3096,0.8667
571,3097,0.4667
572,3107,0.6667
573,3110,0.8000
574,3113,0.6667
575,3115,0.7333
576,3116,0.6667
577,3119,0.8000
578,3120,0.6667
579,3124,0.7333
580,3128,0.0000
581,3154,0.6000
582,3155,0.0000
583,3156,0.8667
584,3157,0.3333
585,3164,0.4667
586,3170,0.8667
587,3177,0.6667
588,3184,0.8000
589,3190,0.8667
590,3194,0.2667
591,3198,0.6000
592,3200,0.8000
593,3201,0.7333
594,3233,0.8000
595,3235,0.3333
596,3236,0.3333
597,3239,0.4667
598,3241,0.6667
599,3256,0.8667
600,3276,0.5333
601,3282,0.6667
602,3286,0.0000
603,3287,0.6667
604,3296,0.8667
605,3297,0.5333
606,3298,0.6667
607,3304,0.7333
608,3320,0.5333
609,3323,0.3333
610,3326,0.8667
611,3327,0.6667
612,3334,0.6667
613,3335,0.0667
614,3337,0.7333
615,3350,0.8667
616,3351,0.7333
617,3364,0.7333
618,3384,0.6667
619,3395,0.6667
620,3396,0.3333
621,3407,0.3333
622,3411,0.8667
623,3413,0.4000
624,3422,0.2667
625,3429,0.1333
626,3432,0.7333
627,3442,0.7333
628,3452,0.8667
629,3456,0.4000
630,3463,0.8000
631,3466,0.6667
632,3467,0.7333
633,3469,0.5333
634,3471,0.8667
635,3488,0.6000
636,3491,0.4000
637,3492,0.5333
638,3493,0.6000
639,3495,0.7333
640,3502,0.6000
641,3504,0.8667
642,3508,0.3333
643,3515,0.8000
644,3527,0.5333
645,3529,0.4000
646,3530,0.7333
647,3534,0.6667
648,3536,0.8000
649,3542,0.8000
650,3547,0.3333
651,3554,0.0667
652,3555,0.6667
653,3556,0.6667
654,3558,0.7333
655,3562,0.7333
656,3569,0.0000
657,3571,0.7333
658,3576,0.7333
659,3577,0.2667
660,3578,0.6667
661,3580,0.7333
662,3587,0.8667
663,3608,0.5333
664,3617,0.8000
665,3625,0.4000
666,3627,0.1333
667,3634,0.6000
668,3636,0.8000
669,3643,0.6667
670,3644,0.6000
671,3649,0.8000
672,3650,0.8000
673,3655,0.7333
674,3661,0.8000
675,3675,0.2667
676,3694,0.4000
677,3701,0.8667
678,3703,0.6000
679,3709,0.8000
680,3710,0.8000
681,3711,0.8000
682,3715,0.1333
683,3722,0.8667
684,3724,0.8000
685,3728,0.8000
686,3733,0.8000
687,3737,0.3333
688,3744,0.6667
689,3750,0.4000
690,3751,0.3333
691,3758,0.6667
692,3759,0.0667
693,3767,0.6667
694,3770,0.6667
695,3791,0.6667
696,3794,0.8000
697,3796,0.6667
698,3799,0.8667
699,3803,0.4000
700,3804,0.4667
701,3808,0.7333
702,3813,0.6667
703,3818,0.7333
704,3822,0.0000
705,3823,0.1333
706,3824,0.6000
707,3829,0.8667
708,3833,0.4000
709,3839,0.3333
710,3843,0.8667
711,3845,0.8667
712,3849,0.7333
713,3854,0.8000
714,3867,0.8667
715,3870,0.6000
716,3872,0.8667
717,3873,0.6000
718,3888,0.6667
719,3889,0.5333
720,3898,0.6667
721,3900,0.8000
722,3907,0.6667
723,3909,0.7333
724,3931,0.7333
725,3933,0.0000
726,3936,0.8000
727,3937,0.8667
728,3938,0.0000
729,3939,0.6667
730,3941,0.4000
731,3944,0.6000
732,3946,0.8667
733,3947,0.6000
734,3952,0.8667
735,3957,0.8000
736,3966,0.6667
737,3981,0.5333
738,3982,0.6667
739,3983,0.8667
740,3993,0.4667
741,3994,0.8667
742,4008,0.8000
743,4018,0.5333
744,4019,0.8667
745,4029,0.8000
746,4036,0.6000
747,4037,0.2000
748,4046,0.8000
749,4053,0.6667
750,4062,0.8667
751,4065,0.2667
752,4067,0.8667
753,4077,0.8000
754,4079,0.7333
755,4080,0.8000
756,4094,0.8000
757,4101,0.7333
758,4102,0.8000
759,4105,0.6667
760,4109,0.6000
761,4111,0.3333
762,4112,0.7333
763,4119,0.3333
764,4123,0.6667
765,4125,0.6000
766,4129,0.7333
767,4130,0.4667
768,4133,0.3333
769,4139,0.6667
770,4140,0.6000
771,4145,0.5333
772,4147,0.8000
773,4149,0.6000
774,4150,0.8667
775,4154,0.6667
776,4156,0.7333
777,4157,0.7333
778,4158,0.6000
779,4176,0.7333
780,4199,0.4000
781,4202,0.4000
782,4203,0.8000
783,4207,0.6667
784,4208,0.6667
785,4219,0.8000
786,4226,0.6000
787,4230,0.8667
788,4231,0.2000
789,4238,0.5333
790,4245,0.8000
791,4248,0.0000
792,4255,0.6000
793,4256,0.4667
794,4262,0.8000
795,4272,0.8667
796,4274,0.6667
797,4275,0.7333
798,4282,0.6000
799,4286,0.4000
800,4291,0.4667
801,4296,0.8000
802,4300,0.6000
803,4301,0.5333
804,4302,0.8667
805,4306,0.6000
806,4311,0.4667
807,4316,0.0000
808,4328,0.8667
809,4329,0.8000
810,4334,0.8667
811,4336,0.5333
812,4342,0.8667
813,4347,0.3333
814,4354,0.8000
815,4357,0.8000
816,4370,0.8000
817,4371,0.4000
818,4373,0.4000
819,4381,0.8667
820,4386,0.5333
821,4387,0.8667
822,4388,0.0000
823,4392,0.6667
824,4400,0.6667
825,4406,0.4667
826,4407,0.7333
827,4409,0.8000
828,4416,0.4667
829,4417,0.4667
830,4427,0.4000
831,4433,0.6667
832,4438,0.8000
833,4449,0.8667
834,4461,0.8667
835,4464,0.8667
836,4466,0.8000
837,4472,0.8667
838,4476,0.7333
839,4480,0.3333
840,4490,0.7333
841,4493,0.8000
842,4515,0.7333
843,4520,0.8667
844,4523,0.7333
845,4531,0.4000
846,4538,0.8000
847,4539,0.6667
848,4543,0.0667
849,4544,0.7333
850,4545,0.2000
851,4548,0.6000
852,4553,0.7333
853,4559,0.6667
854,4569,0.8667
855,4570,0.7333
856,4572,0.5333
857,4581,0.7333
858,4586,0.8000
859,4588,0.6000
860,4590,0.8667
861,4598,0.6000
862,4599,0.8000
863,4600,0.4667
864,4603,0.8000
865,4606,0.7333
866,4621,0.8667
867,4622,0.5333
868,4625,0.0667
869,4627,0.8000
870,4632,0.8000
871,4634,0.6667
872,4654,0.7333
873,4657,0.8667
874,4660,0.4000
875,4662,0.0000
876,4672,0.8000
877,4677,0.6667
878,4679,0.6667
879,4681,0.6667
880,4694,0.7333
881,4697,0.4667
882,4699,0.4000
883,4706,0.6000
884,4707,0.6667
885,4710,0.6000
886,4713,0.4000
887,4721,0.6000
888,4725,0.8000
889,4728,0.4667
890,4730,0.4667
891,4731,0.8667
892,4735,0.6667
893,4742,0.7333
894,4745,0.6667
895,4746,0.6000
896,4747,0.8667
897,4752,0.8667
898,4755,0.8667
899,4765,0.8667
900,4775,0.5333
901,4788,0.8000
902,4798,0.6000
903,4800,0.4000
904,4810,0.8000
905,4815,0.8000
906,4819,0.7333
907,4831,0.4667
908,4838,0.4667
909,4845,0.5333
910,4854,0.8667
911,4858,0.8667
912,4859,0.6000
913,4861,0.7333
914,4863,0.6667
915,4865,0.5333
916,4874,0.8667
917,4882,0.8000
918,4894,0.7333
919,4902,0.8667
920,4906,0.6667
921,4908,0.8667
922,4909,0.8667
923,4911,0.8000
924,4917,0.8000
925,4922,0.8667
926,4930,0.6667
927,4942,0.6000
928,4950,0.8667
929,4955,0.8000
930,4958,0.7333
931,4960,0.8667
932,4962,0.4667
933,4968,0.6667
934,4970,0.5333
935,4977,0.4000
936,4986,0.0667
937,4987,0.8000
938,4989,0.7333
939,4998,0.8667
