map_id,t0,t1,t2,t3,ada_delta_goal_last_minus_0
398,1.0,0.800000011920929,0.800000011920929,0.4000000059604645,-0.6000000238418579
399,1.0,1.0,1.0,1.0,0.0
400,1.0,1.0,1.0,1.0,0.0
401,1.0,1.0,1.0,1.0,0.0
402,1.0,1.0,1.0,1.0,0.0
403,1.0,1.0,1.0,1.0,0.0
404,1.0,1.0,1.0,1.0,0.0
405,1.0,1.0,1.0,1.0,0.0
406,0.0,0.0,0.0,0.0,0.0
407,1.0,0.20000000298023224,1.0,0.800000011920929,-0.19999998807907104
408,1.0,1.0,1.0,1.0,0.0
409,1.0,0.800000011920929,1.0,0.800000011920929,-0.19999998807907104
410,1.0,1.0,1.0,1.0,0.0
411,1.0,1.0,1.0,1.0,0.0
412,1.0,1.0,1.0,1.0,0.0
413,1.0,1.0,1.0,1.0,0.0
414,1.0,1.0,1.0,1.0,0.0
415,1.0,1.0,1.0,1.0,0.0
416,1.0,1.0,1.0,1.0,0.0
417,1.0,1.0,1.0,1.0,0.0
418,1.0,1.0,1.0,1.0,0.0
419,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,0.0
421,0.800000011920929,0.800000011920929,0.800000011920929,1.0,0.19999998807907104
422,1.0,1.0,1.0,1.0,0.0
423,1.0,1.0,1.0,1.0,0.0
424,1.0,1.0,1.0,1.0,0.0
425,0.4000000059604645,0.20000000298023224,0.6000000238418579,0.4000000059604645,0.0
426,1.0,1.0,1.0,1.0,0.0
427,1.0,1.0,1.0,1.0,0.0
428,1.0,1.0,1.0,1.0,0.0
429,1.0,1.0,1.0,1.0,0.0
430,1.0,1.0,1.0,1.0,0.0
431,1.0,1.0,1.0,1.0,0.0
432,0.4000000059604645,0.6000000238418579,0.20000000298023224,0.20000000298023224,-0.20000000298023224
433,0.20000000298023224,0.800000011920929,0.20000000298023224,0.20000000298023224,0.0
434,1.0,1.0,1.0,1.0,0.0
435,0.6000000238418579,0.6000000238418579,0.4000000059604645,0.20000000298023224,-0.40000003576278687
436,0.4000000059604645,1.0,1.0,1.0,0.6000000238418579
437,1.0,1.0,1.0,1.0,0.0
438,1.0,1.0,1.0,1.0,0.0
439,1.0,1.0,0.800000011920929,1.0,0.0
440,1.0,1.0,1.0,1.0,0.0
441,0.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929
442,0.800000011920929,0.4000000059604645,0.800000011920929,0.4000000059604645,-0.4000000059604645
443,1.0,1.0,1.0,1.0,0.0
444,1.0,1.0,1.0,1.0,0.0
445,1.0,1.0,1.0,1.0,0.0
446,1.0,1.0,1.0,1.0,0.0
447,1.0,1.0,1.0,1.0,0.0
448,1.0,1.0,1.0,1.0,0.0
449,0.4000000059604645,0.800000011920929,1.0,1.0,0.6000000238418579
450,1.0,1.0,1.0,0.800000011920929,-0.19999998807907104
451,1.0,1.0,1.0,1.0,0.0
452,1.0,1.0,1.0,1.0,0.0
453,1.0,1.0,1.0,1.0,0.0
454,0.0,0.0,0.0,0.0,0.0
455,1.0,1.0,1.0,1.0,0.0
456,1.0,1.0,1.0,1.0,0.0
457,1.0,1.0,1.0,1.0,0.0
458,1.0,1.0,1.0,1.0,0.0
459,1.0,1.0,1.0,1.0,0.0
460,1.0,1.0,1.0,1.0,0.0
461,1.0,1.0,1.0,1.0,0.0
462,1.0,1.0,1.0,1.0,0.0
463,0.800000011920929,1.0,0.800000011920929,0.800000011920929,0.0
464,1.0,1.0,1.0,1.0,0.0
465,1.0,1.0,1.0,1.0,0.0
466,1.0,1.0,1.0,1.0,0.0
467,1.0,1.0,1.0,1.0,0.0
468,1.0,1.0,1.0,1.0,0.0
469,1.0,1.0,1.0,1.0,0.0
470,1.0,1.0,1.0,1.0,0.0
471,1.0,1.0,0.800000011920929,1.0,0.0
472,1.0,0.6000000238418579,0.20000000298023224,0.800000011920929,-0.19999998807907104
473,0.0,0.0,0.0,0.0,0.0
474,1.0,1.0,1.0,1.0,0.0
475,1.0,1.0,1.0,1.0,0.0
476,1.0,1.0,1.0,1.0,0.0
477,1.0,1.0,1.0,1.0,0.0
478,1.0,1.0,1.0,1.0,0.0
479,1.0,1.0,1.0,1.0,0.0
480,1.0,1.0,1.0,1.0,0.0
481,1.0,1.0,1.0,1.0,0.0
482,0.20000000298023224,0.800000011920929,1.0,1.0,0.800000011920929
483,0.0,0.0,0.20000000298023224,0.4000000059604645,0.4000000059604645
484,1.0,1.0,1.0,1.0,0.0
485,1.0,1.0,1.0,1.0,0.0
486,1.0,1.0,1.0,1.0,0.0
487,1.0,1.0,1.0,1.0,0.0
488,1.0,1.0,1.0,1.0,0.0
489,1.0,1.0,1.0,1.0,0.0
490,0.4000000059604645,0.20000000298023224,0.0,0.0,-0.4000000059604645
491,1.0,1.0,1.0,1.0,0.0
492,1.0,1.0,1.0,1.0,0.0
493,1.0,1.0,1.0,1.0,0.0
494,1.0,1.0,1.0,1.0,0.0
495,0.800000011920929,0.20000000298023224,0.6000000238418579,1.0,0.19999998807907104
496,1.0,1.0,1.0,1.0,0.0
497,1.0,1.0,1.0,1.0,0.0
498,0.4000000059604645,0.20000000298023224,0.0,0.20000000298023224,-0.20000000298023224
499,0.800000011920929,1.0,0.6000000238418579,1.0,0.19999998807907104
500,1.0,0.800000011920929,1.0,1.0,0.0
501,1.0,1.0,1.0,1.0,0.0
502,1.0,1.0,1.0,1.0,0.0
503,1.0,1.0,1.0,1.0,0.0
